,Unnamed: 0.1,Unnamed: 0,service_date,route_id,direction,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,earliness,delta
68566,72543,2749440,2020-08-19,39,Inbound,48420435.0,1128,jpctr,2.0,Midpoint,Headway,1900-01-01 20:44:00,1900-01-01 20:43:59,720.0,687.0,,1.0
69520,73531,2750428,2020-08-19,39,Outbound,48420428.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 23:45:00,1900-01-01 23:50:11,780.0,858.0,,311.0
69566,73582,2750479,2020-08-19,39,Outbound,48420442.0,1160,shunt,7.0,Midpoint,Headway,1900-01-02 01:03:00,1900-01-02 01:03:51,840.0,810.0,,51.0
70520,74854,2823588,2020-08-20,39,Outbound,48430403.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 12:28:00,1900-01-01 12:30:41,780.0,803.0,,161.0
70566,74904,2823638,2020-08-20,39,Outbound,48430308.0,23391,bbsta,1.0,Startpoint,Headway,1900-01-01 13:31:00,1900-01-01 13:32:30,600.0,477.0,,90.0
71520,76110,2896601,2020-08-21,39,Inbound,48440263.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 17:46:00,1900-01-01 17:46:54,600.0,90.0,,54.0
71566,76170,2896661,2020-08-21,39,Inbound,48440278.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 18:49:00,1900-01-01 18:58:05,540.0,702.0,,545.0
72520,77239,2897730,2020-08-21,39,Outbound,48440332.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 23:19:00,1900-01-01 23:20:31,840.0,925.0,,91.0
72566,77285,2897776,2020-08-21,39,Outbound,48440334.0,91391,hlong,4.0,Midpoint,Headway,1900-01-02 00:28:00,1900-01-02 00:26:24,840.0,1152.0,,96.0
73520,78485,2965511,2020-08-22,39,Outbound,48449399.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 11:37:00,1900-01-01 11:31:48,720.0,611.0,,312.0
73566,78532,2965558,2020-08-22,39,Outbound,48449333.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 12:47:00,1900-01-01 12:46:13,780.0,1256.0,,47.0
74520,79691,3020134,2020-08-23,39,Inbound,48455981.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 19:43:00,1900-01-01 19:42:51,900.0,835.0,,9.0
74566,79747,3020190,2020-08-23,39,Inbound,48455992.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 21:06:00,1900-01-01 21:07:14,960.0,976.0,,74.0
75520,80800,3081634,2020-08-24,39,Inbound,48465207.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 08:59:00,1900-01-01 09:01:11,600.0,547.0,,131.0
75566,80856,3081690,2020-08-24,39,Inbound,48465188.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 10:03:00,1900-01-01 09:59:11,660.0,,,229.0
76520,81977,3082811,2020-08-24,39,Outbound,48465245.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 14:05:00,1900-01-01 14:14:31,600.0,1266.0,,571.0
76566,82023,3082857,2020-08-24,39,Outbound,48465366.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 14:56:00,1900-01-01 14:54:09,600.0,225.0,,111.0
77520,83102,3155878,2020-08-25,39,Inbound,48475323.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 16:56:00,1900-01-01 16:55:28,600.0,595.0,,32.0
77566,83153,3155929,2020-08-25,39,Inbound,48475208.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 17:47:00,1900-01-01 17:47:31,600.0,704.0,,31.0
78520,84176,3156952,2020-08-25,39,Outbound,48475268.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 20:43:00,1900-01-01 20:44:03,720.0,954.0,,63.0
78566,84222,3156998,2020-08-25,39,Outbound,48475261.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 21:47:00,1900-01-01 21:48:48,720.0,680.0,,108.0
79520,85228,3229883,2020-08-26,39,Inbound,48485197.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 21:54:00,1900-01-01 21:56:08,840.0,955.0,,128.0
79566,85274,3229929,2020-08-26,39,Inbound,48485227.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 22:57:00,1900-01-01 22:55:53,780.0,795.0,,67.0
80520,86264,3302808,2020-08-27,39,Inbound,48495029.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 06:08:00,1900-01-01 06:06:54,900.0,1021.0,,66.0
80566,86310,3302854,2020-08-27,39,Inbound,48495046.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 07:16:00,1900-01-01 07:20:28,900.0,1182.0,,268.0
81520,87273,3303817,2020-08-27,39,Outbound,48495062.0,23391,bbsta,1.0,Startpoint,Headway,1900-01-01 07:18:00,1900-01-01 07:18:57,900.0,943.0,,57.0
81566,87319,3303863,2020-08-27,39,Outbound,48495064.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 08:35:00,1900-01-01 08:42:16,900.0,1348.0,,436.0
82520,88301,3376788,2020-08-28,39,Inbound,48505004.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 09:56:00,1900-01-01 10:03:18,660.0,1335.0,,438.0
82566,88349,3376836,2020-08-28,39,Inbound,48505033.0,11389,hunbv,8.0,Midpoint,Headway,1900-01-01 10:54:00,1900-01-01 10:51:47,720.0,874.0,,133.0
83520,89315,3377802,2020-08-28,39,Outbound,48505143.0,11388,hunbv,2.0,Midpoint,Headway,1900-01-01 11:43:00,1900-01-01 11:45:07,720.0,801.0,,127.0
83566,89362,3377849,2020-08-28,39,Outbound,48505156.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 12:49:00,1900-01-01 12:59:21,780.0,1354.0,,621.0
84520,90357,3435191,2020-08-30,39,Inbound,48511904.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 14:57:00,1900-01-01 14:59:37,840.0,1258.0,,157.0
84566,90413,3435247,2020-08-30,39,Inbound,48511906.0,1128,jpctr,2.0,Midpoint,Headway,1900-01-01 16:16:00,1900-01-01 16:14:43,720.0,547.0,,77.0
85520,91402,3436236,2020-08-30,39,Outbound,48511846.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 22:26:00,1900-01-01 22:31:23,900.0,1119.0,,323.0
85566,91451,3436285,2020-08-30,39,Outbound,48511869.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 23:45:00,1900-01-01 23:44:22,900.0,563.0,,38.0
86520,92430,3509776,2020-08-31,39,Inbound,48524392.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 19:39:00,1900-01-01 19:32:56,540.0,545.0,,364.0
86566,92476,3509822,2020-08-31,39,Inbound,48524483.0,11389,hunbv,8.0,Midpoint,Headway,1900-01-01 20:30:00,1900-01-01 20:24:47,720.0,755.0,,313.0
87520,93469,3510815,2020-08-31,39,Outbound,48524472.0,41391,nuniv,3.0,Midpoint,Headway,1900-01-01 19:18:00,1900-01-01 19:18:05,600.0,427.0,,5.0
87566,93515,3510861,2020-08-31,39,Outbound,48524393.0,41391,nuniv,3.0,Midpoint,Headway,1900-01-01 20:11:00,1900-01-01 20:13:46,660.0,966.0,,166.0
88520,94507,3605514,2020-09-01,39,Inbound,48538241.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 17:12:00,1900-01-01 17:04:53,480.0,434.0,,427.0
88566,94558,3605565,2020-09-01,39,Inbound,48538008.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 17:53:00,1900-01-01 17:48:04,480.0,,,296.0
89520,95540,3606547,2020-09-01,39,Outbound,48538086.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 15:48:00,1900-01-01 15:46:01,540.0,5.0,,119.0
89566,95595,3606602,2020-09-01,39,Outbound,48538182.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 16:46:00,1900-01-01 16:29:55,660.0,165.0,,965.0
90520,96585,3701064,2020-09-02,39,Inbound,48551740.0,1128,jpctr,2.0,Midpoint,Headway,1900-01-01 12:37:00,1900-01-01 12:35:38,720.0,695.0,,82.0
90566,96644,3701123,2020-09-02,39,Inbound,48551688.0,1128,jpctr,2.0,Midpoint,Headway,1900-01-01 13:49:00,1900-01-01 13:49:11,720.0,813.0,,11.0
91520,97609,3702088,2020-09-02,39,Outbound,48551737.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 10:37:00,1900-01-01 10:40:00,720.0,1335.0,,180.0
91566,97656,3702135,2020-09-02,39,Outbound,48551685.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 11:37:00,1900-01-01 11:33:46,660.0,697.0,,194.0
92520,98657,3796933,2020-09-03,39,Inbound,48565438.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 08:16:00,1900-01-01 08:07:13,420.0,612.0,,527.0
92566,98703,3796979,2020-09-03,39,Inbound,48565519.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 08:47:00,1900-01-01 08:32:32,420.0,577.0,,868.0
93520,99691,3797967,2020-09-03,39,Outbound,48565408.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 07:07:00,1900-01-01 07:05:17,480.0,131.0,,103.0
93566,99739,3798015,2020-09-03,39,Outbound,48565499.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 07:44:00,1900-01-01 07:44:20,480.0,248.0,,20.0
94520,100737,3892991,2020-09-04,39,Inbound,48579071.0,23391,bbsta,10.0,Endpoint,Schedule,1900-01-01 05:24:00,1900-01-01 05:21:09,,,,171.0
94566,100783,3893037,2020-09-04,39,Inbound,48579073.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 06:13:00,1900-01-01 06:11:38,780.0,741.0,,82.0
95520,101775,3894029,2020-09-04,39,Inbound,48579303.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 22:10:00,1900-01-01 22:10:09,720.0,843.0,,9.0
95566,101821,3894075,2020-09-04,39,Inbound,48579298.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 23:06:00,1900-01-01 23:04:14,540.0,382.0,,106.0
96520,102794,3895048,2020-09-04,39,Outbound,48579278.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 20:46:00,1900-01-01 20:52:12,720.0,747.0,,372.0
96566,102842,3895096,2020-09-04,39,Outbound,48579119.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 21:49:00,1900-01-01 21:50:07,720.0,646.0,,67.0
97520,103868,3974056,2020-09-05,39,Inbound,48589163.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 21:23:00,1900-01-01 21:21:17,840.0,629.0,,103.0
97566,103914,3974102,2020-09-05,39,Inbound,48589165.0,11389,hunbv,8.0,Midpoint,Headway,1900-01-01 22:29:00,1900-01-01 22:21:45,840.0,917.0,,435.0
98520,104919,4029047,2020-09-06,39,Inbound,48595386.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 07:06:00,1900-01-01 07:04:44,900.0,770.0,,76.0
98566,104965,4029093,2020-09-06,39,Inbound,48595388.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 08:18:00,1900-01-01 08:16:49,900.0,1170.0,,71.0
99520,105933,4030061,2020-09-06,39,Outbound,48595506.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 12:36:00,1900-01-01 12:35:22,780.0,730.0,,38.0
99566,105982,4030110,2020-09-06,39,Outbound,48595414.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 13:43:00,1900-01-01 13:40:29,720.0,337.0,,151.0
100520,106952,4076001,2020-09-07,39,Inbound,48601545.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 17:35:00,1900-01-01 17:32:36,840.0,807.0,,144.0
100566,106998,4076047,2020-09-07,39,Inbound,48601579.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 18:43:00,1900-01-01 18:43:40,900.0,943.0,,40.0
101520,107970,4077019,2020-09-07,39,Outbound,48601619.0,1363,brghm,5.0,Midpoint,Headway,1900-01-02 00:55:00,1900-01-02 00:54:12,900.0,886.0,,48.0
101566,108017,4149636,2020-09-08,39,Inbound,48614180.0,175,copst,9.0,Midpoint,Headway,1900-01-01 05:42:00,1900-01-01 05:38:40,600.0,464.0,,200.0
102520,108984,4150603,2020-09-08,39,Inbound,48614338.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 21:05:00,1900-01-01 21:04:19,780.0,543.0,,41.0
102566,109031,4150650,2020-09-08,39,Inbound,48614362.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 22:03:00,1900-01-01 21:59:28,720.0,694.0,,212.0
103520,110005,4151624,2020-09-08,39,Outbound,48614238.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 19:41:00,1900-01-01 19:38:15,600.0,590.0,,165.0
103566,110051,4151670,2020-09-08,39,Outbound,48614176.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 20:37:00,1900-01-01 20:33:07,720.0,260.0,,233.0
104520,111048,4246677,2020-09-09,39,Inbound,48628004.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 17:28:00,1900-01-01 17:12:44,480.0,655.0,,916.0
104566,111094,4246723,2020-09-09,39,Inbound,48628013.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 18:04:00,1900-01-01 17:52:58,240.0,451.0,,662.0
105520,112096,4247725,2020-09-09,39,Outbound,48628012.0,11388,hunbv,2.0,Midpoint,Headway,1900-01-01 16:55:00,1900-01-01 16:54:37,960.0,1131.0,,23.0
105566,112143,4247772,2020-09-09,39,Outbound,48627947.0,11388,hunbv,2.0,Midpoint,Headway,1900-01-01 17:43:00,1900-01-01 17:38:37,480.0,223.0,,263.0
106520,113117,4342700,2020-09-10,39,Inbound,48641638.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 13:33:00,1900-01-01 13:29:40,720.0,693.0,,200.0
106566,113163,4342746,2020-09-10,39,Inbound,48641578.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 14:29:00,1900-01-01 14:24:39,720.0,403.0,,261.0
